Augmentation,RunID,F1-Score,Recall,Precision,Accuracy,person_F1 score,person_Precision,person_Recall,bicycle_F1 score,bicycle_Precision,bicycle_Recall,car_F1 score,car_Precision,car_Recall,motorcycle_F1 score,motorcycle_Precision,motorcycle_Recall,siren_F1 score,siren_Precision,siren_Recall,bus_F1 score,bus_Precision,bus_Recall,truck_F1 score,truck_Precision,truck_Recall
_AirAbsorption_ClippingDistortion_TimeStretch_P,04,0.5732648279715993,0.7195552318437899,0.5038183625641143,0.8122598672720922,0.9319593174265853,0.9307282646206415,0.9333874617889605,0.5404671585948867,0.39174174174174176,0.8724814063556456,0.9146674797457761,0.9200794372931553,0.9096608972094666,0.36675634535735774,0.29173587591949435,0.5220513564485709,0.6676439232409381,0.5693205216197667,0.8137065637065637,0.46759259259259256,0.33225806451612905,0.7915690866510539,0.12376697884305768,0.09086463223787167,0.19402985074626866
_AirAbsorption_ClippingDistortion_P,04,0.5708890133769495,0.70085102282746,0.5125118365628075,0.8117359413202934,0.9293769517142068,0.9254912376555875,0.9334846159401339,0.5598214285714287,0.41535626535626535,0.8605263157894737,0.914019726826179,0.9244846165511458,0.9039498472085277,0.44840915848944396,0.426958172444291,0.47284273341782845,0.6478094555017633,0.5493308167467399,0.7991891891891891,0.4434741808513411,0.31451612903225806,0.7597222222222222,0.05331219168428471,0.031445618153364635,0.17624223602484473
Top,7_SpecAugment_BackgroundNoise_TimeStretch,0.5579757823674627,0.6612891895498136,0.5127041926599001,0.799377722464219,0.9237301963368775,0.929467681712338,0.9181189872262954,0.5103896103896104,0.3743457583889051,0.8026130160093234,0.9042202843118947,0.9074301942269642,0.9012909503439246,0.43131569323691443,0.4638738451736222,0.4131818181818182,0.6518126781131701,0.5596508042336861,0.7827653997378767,0.36017024053954827,0.25031491103763187,0.6503159003159003,0.12419177364422324,0.10384615384615384,0.16073825503355704
Top,7_SpecAugment_BackgroundNoise_AirAbsorption,0.5542599645498459,0.6911964128274459,0.4928689294711429,0.8065725352992628,0.926651771157892,0.9310488294801431,0.9225261280219814,0.4791148314592294,0.345327396472649,0.7823617952928298,0.9081309159669528,0.9109225088038719,0.9054829114255307,0.4006105006105006,0.3643696647956661,0.49135102892931704,0.6498042620603512,0.5387700534759359,0.8267326732673268,0.40858694346973357,0.2855224736677443,0.7181324110671936,0.10692052712426228,0.07412157960199005,0.19178794178794178
Top,7_BackgroundNoise_ClippingDistortion,0.5672076073140333,0.6916693976857812,0.5090025386029128,0.8042704626334519,0.9261445815687855,0.9298230398258724,0.9225433552980586,0.4498412698412699,0.31163398692810457,0.8090643274853802,0.9046360799257449,0.9081306108682341,0.9014043309993571,0.4280171892022757,0.3900040064102564,0.4784264723593882,0.6997019374068554,0.608446519524618,0.8381755383990248,0.4303092136242348,0.3159813306987361,0.6840277777777778,0.1318029796290666,0.0989982759645681,0.20804398148148148
Top,7_SpecAugment_BackgroundNoise_ClippingDistortion,0.5533271220262266,0.7232909909796255,0.48290604924927927,0.7987766820621646,0.9232647139963839,0.9239126366496115,0.9227497302184502,0.5249953883047409,0.376921809447761,0.8648504273504274,0.9030114749612975,0.906296545537312,0.9000893696178194,0.36648171859439466,0.27772239943292576,0.5388577267135142,0.6713221465747233,0.5751272264631043,0.8188386985115956,0.35713820926600726,0.23009291772459617,0.799772283669486,0.12707620248603854,0.09026880948964461,0.21787870077608507
Top,7_BackgroundNoise_ClippingDistortion_TimeStretch,0.5636984193494388,0.695475726876368,0.507344184793308,0.8047739698626484,0.9284614798644761,0.9300444575480744,0.9269866735537673,0.47735378594198785,0.3383984867591425,0.8193355729749907,0.9051635699200666,0.9077211658602605,0.9027183158131623,0.4127192036243721,0.41642580284241515,0.4366309053265575,0.6719552929085304,0.5742296918767507,0.814625850340136,0.42655774718554984,0.2999813849590469,0.7379924953095685,0.1236778560010883,0.08460830370746572,0.23004027481639422
Top,7_SpecAugment_BackgroundNoise_ClippingDistortion_TimeStretch,0.5533800481096375,0.6767518304073936,0.4917948141063519,0.7924597364568082,0.9192177438588123,0.9210960630164731,0.9173607740354227,0.4968738551715717,0.3702123625331817,0.7560009057971014,0.9013214396146627,0.9080185871721934,0.8947775564979026,0.37935306563133897,0.3040778272306514,0.5155128205128205,0.6574607560703156,0.561203007518797,0.7951709401709401,0.3990033688938799,0.2960693641618497,0.6293956981905087,0.12043010752688171,0.0818864871113166,0.22904411764705881
Top,7_BackgroundNoise_AirAbsorption,0.5655992660980427,0.708820847918156,0.5083656404053056,0.8035424553812872,0.9271823828513672,0.9231165543833693,0.9315073094253654,0.523879962981506,0.38274025659646577,0.8332562798582216,0.9099179212829133,0.915894365775389,0.9044335238410208,0.43194693138148044,0.41293395913578046,0.4547020469819348,0.6956388602372358,0.6042240587695134,0.8316083531782378,0.3923838053740014,0.2742544467714817,0.6998474446987033,0.07824499857779463,0.04539584140514012,0.306390977443609
Top,7_BackgroundNoise_AirAbsorption_TimeStretch,0.5671389655026313,0.7196887641517793,0.49656818582042905,0.8093645484949833,0.9273495511566523,0.9269225048795056,0.9278091499254946,0.5348118699840682,0.38746972892742754,0.8632375776397516,0.9094475591827151,0.9125117698840253,0.9064710906115034,0.3857244504362806,0.2961712846347607,0.5540134370579916,0.6666666666666665,0.5564149226569608,0.8336734693877551,0.3947939624657717,0.2689066517953961,0.7423240434577232,0.1511786986262649,0.12758043796492696,0.21029258098223616
